FECHA;FESTIVO;MADRE;NAVIDAD;BRUJITOS;SEMSANTA;ESCOLAR
2014-01-01;;;X;;;
2014-01-06;X;;;;;
2014-03-03;X;;;;;
2014-03-24;X;;;;;
2014-04-13;;;;;X;
2014-04-14;;;;;X;
2014-04-15;;;;;X;
2014-04-16;;;;;X;
2014-04-17;;;;;X;
2014-04-18;;;;;X;
2014-04-19;;;;;X;
2014-05-01;X;;;;;
2014-05-11;;X;;;;
2014-05-29;X;;;;;
2014-06-30;X;;;;;
2014-07-20;X;;;;;
2014-08-07;X;;;;;
2014-10-06;;;;;;X
2014-10-07;;;;;;X
2014-10-08;;;;;;X
2014-10-09;;;;;;X
2014-10-10;;;;;;X
2014-10-31;;;;X;;
2014-11-03;X;;;;;
2014-11-17;X;;;;;
2014-12-24;;;X;;;
2014-12-25;;;X;;;
2014-12-31;;;X;;;
2015-01-01;;;X;;;
2015-01-06;X;;;;;
2015-02-16;X;;;;;
2015-03-23;X;;;;;
2015-03-29;;;;;X;
2015-03-30;;;;;X;
2015-03-31;;;;;X;
2015-04-01;;;;;X;
2015-04-02;;;;;X;
2015-04-03;;;;;X;
2015-04-04;;;;;X;
2015-05-01;X;;;;;
2015-05-10;;X;;;;
2015-05-14;X;;;;;
2015-06-29;X;;;;;
2015-07-20;X;;;;;
2015-08-07;X;;;;;
2015-10-05;;;;;;X
2015-10-06;;;;;;X
2015-10-07;;;;;;X
2015-10-08;;;;;;X
2015-10-09;;;;;;X
2015-10-12;X;;;;;
2015-10-31;;;;X;;
2015-11-02;X;;;;;
2015-11-16;X;;;;;
2015-12-24;;;X;;;
2015-12-25;;;X;;;
2015-12-31;;;X;;;
2016-01-01;;;X;;;
2016-01-06;X;;;;;
2016-02-08;X;;;;;
2016-03-20;;;;;X;
2016-03-21;;;;;X;
2016-03-22;;;;;X;
2016-03-23;;;;;X;
2016-03-24;;;;;X;
2016-03-25;;;;;X;
2016-03-26;;;;;X;
2016-05-01;X;;;;;
2016-05-05;X;;;;;
2016-05-08;;X;;;;
2016-07-04;X;;;;;
2016-07-20;X;;;;;
2016-08-07;X;;;;;
2016-10-10;;;;;;X
2016-10-11;;;;;;X
2016-10-12;;;;;;X
2016-10-13;;;;;;X
2016-10-14;;;;;;X
2016-10-17;X;;;;;
2016-10-31;;;;X;;
2016-11-07;X;;;;;
2016-11-14;X;;;;;
2016-12-24;;;X;;;
2016-12-25;;;X;;;
2016-12-31;;;X;;;
2017-01-01;;;X;;;
2017-01-06;X;;;;;
2017-02-27;X;;;;;
2017-03-20;X;;;;;
2017-04-09;;;;;X;
2017-04-10;;;;;X;
2017-04-11;;;;;X;
2017-04-12;;;;;X;
2017-04-13;;;;;X;
2017-04-14;;;;;X;
2017-04-15;;;;;X;
2017-05-01;X;;;;;
2017-05-14;;X;;;;
2017-05-25;X;;;;;
2017-07-03;X;;;;;
2017-07-20;X;;;;;
2017-08-07;X;;;;;
2017-10-09;;;;;;X
2017-10-10;;;;;;X
2017-10-11;;;;;;X
2017-10-12;;;;;;X
2017-10-13;;;;;;X
2017-10-16;X;;;;;
2017-10-31;;;;X;;
2017-11-06;X;;;;;
2017-11-13;X;;;;;
2017-12-24;;;X;;;
2017-12-25;;;X;;;
2017-12-31;;;X;;;
2018-01-01;;;X;;;
2018-01-08;X;;;;;
2018-02-12;X;;;;;
2018-03-19;X;;;;;
2018-03-25;;;;;X;
2018-03-26;;;;;X;
2018-03-27;;;;;X;
2018-03-28;;;;;X;
2018-03-29;;;;;X;
2018-03-30;;;;;X;
2018-03-31;;;;;X;
2018-05-01;X;;;;;
2018-05-13;;X;;;;
2018-05-14;X;;;;;
2018-07-02;X;;;;;
2018-07-20;X;;;;;
2018-08-07;X;;;;;
2018-10-08;;;;;;X
2018-10-09;;;;;;X
2018-10-10;;;;;;X
2018-10-11;;;;;;X
2018-10-12;;;;;;X
2018-10-15;X;;;;;
2018-10-31;;;;X;;
2018-11-05;X;;;;;
2018-11-12;X;;;;;
2018-12-24;;;X;;;
2018-12-25;;;X;;;
2018-12-31;;;X;;;
2019-01-01;;;X;;;
2019-01-07;X;;;;;
2019-03-04;X;;;;;
2019-03-25;X;;;;;
2019-04-14;;;;;X;
2019-04-15;;;;;X;
2019-04-16;;;;;X;
2019-04-17;;;;;X;
2019-04-18;;;;;X;
2019-04-19;;;;;X;
2019-04-20;;;;;X;
2019-05-01;X;;;;;
2019-05-12;;X;;;;
2019-06-03;X;;;;;
2019-07-01;X;;;;;
2019-07-20;X;;;;;
2019-08-07;X;;;;;
2019-10-07;;;;;;X
2019-10-08;;;;;;X
2019-10-09;;;;;;X
2019-10-10;;;;;;X
2019-10-11;;;;;;X
2019-10-14;X;;;;;
2019-10-31;;;;X;;
2019-11-04;X;;;;;
2019-11-11;X;;;;;
2019-12-24;;;X;;;
2019-12-25;;;X;;;
2019-12-31;;;X;;;